round,client_id,upload_ratio,parameter_blocks,uploaded_bytes,total_parameter_bytes,residual_l2
32,client_0,1.0,8,295160,295160,0.0
32,client_1,1.0,8,295160,295160,0.0
32,client_2,1.0,8,295160,295160,0.0
32,client_3,1.0,8,295160,295160,0.0
32,client_4,1.0,8,295160,295160,0.0
32,client_5,1.0,8,295160,295160,0.0
32,client_6,1.0,8,295160,295160,0.0
32,client_9,1.0,8,295160,295160,0.0
32,client_10,1.0,8,295160,295160,0.0
32,client_11,1.0,8,295160,295160,0.0
32,client_13,1.0,8,295160,295160,0.0
32,client_14,1.0,8,295160,295160,0.0
32,client_15,1.0,8,295160,295160,0.0
32,client_16,1.0,8,295160,295160,0.0
32,client_17,1.0,8,295160,295160,0.0
32,client_18,1.0,8,295160,295160,0.0
32,client_19,1.0,8,295160,295160,0.0
33,client_0,1.0,8,295160,295160,0.0
33,client_1,1.0,8,295160,295160,0.0
33,client_2,1.0,8,295160,295160,0.0
33,client_3,1.0,8,295160,295160,0.0
33,client_4,1.0,8,295160,295160,0.0
33,client_7,1.0,8,295160,295160,0.0
33,client_8,1.0,8,295160,295160,0.0
33,client_9,1.0,8,295160,295160,0.0
33,client_10,1.0,8,295160,295160,0.0
33,client_11,1.0,8,295160,295160,0.0
33,client_12,1.0,8,295160,295160,0.0
33,client_13,1.0,8,295160,295160,0.0
33,client_19,1.0,8,295160,295160,0.0
34,client_0,1.0,8,295160,295160,0.0
34,client_2,1.0,8,295160,295160,0.0
34,client_3,1.0,8,295160,295160,0.0
34,client_4,1.0,8,295160,295160,0.0
34,client_5,1.0,8,295160,295160,0.0
34,client_8,1.0,8,295160,295160,0.0
34,client_9,1.0,8,295160,295160,0.0
34,client_10,1.0,8,295160,295160,0.0
34,client_11,1.0,8,295160,295160,0.0
34,client_12,1.0,8,295160,295160,0.0
34,client_13,1.0,8,295160,295160,0.0
34,client_15,1.0,8,295160,295160,0.0
34,client_17,1.0,8,295160,295160,0.0
34,client_18,1.0,8,295160,295160,0.0
34,client_19,1.0,8,295160,295160,0.0
35,client_0,1.0,8,295160,295160,0.0
35,client_1,1.0,8,295160,295160,0.0
35,client_3,1.0,8,295160,295160,0.0
35,client_4,1.0,8,295160,295160,0.0
35,client_5,1.0,8,295160,295160,0.0
35,client_6,1.0,8,295160,295160,0.0
35,client_7,1.0,8,295160,295160,0.0
35,client_8,1.0,8,295160,295160,0.0
35,client_9,1.0,8,295160,295160,0.0
35,client_10,1.0,8,295160,295160,0.0
35,client_12,1.0,8,295160,295160,0.0
35,client_13,1.0,8,295160,295160,0.0
35,client_14,1.0,8,295160,295160,0.0
35,client_16,1.0,8,295160,295160,0.0
35,client_17,1.0,8,295160,295160,0.0
35,client_18,1.0,8,295160,295160,0.0
35,client_19,1.0,8,295160,295160,0.0
36,client_0,1.0,8,295160,295160,0.0
36,client_1,1.0,8,295160,295160,0.0
36,client_3,1.0,8,295160,295160,0.0
36,client_4,1.0,8,295160,295160,0.0
36,client_5,1.0,8,295160,295160,0.0
36,client_6,1.0,8,295160,295160,0.0
36,client_7,1.0,8,295160,295160,0.0
36,client_9,1.0,8,295160,295160,0.0
36,client_10,1.0,8,295160,295160,0.0
36,client_11,1.0,8,295160,295160,0.0
36,client_12,1.0,8,295160,295160,0.0
36,client_13,1.0,8,295160,295160,0.0
36,client_14,1.0,8,295160,295160,0.0
36,client_15,1.0,8,295160,295160,0.0
36,client_17,1.0,8,295160,295160,0.0
36,client_18,1.0,8,295160,295160,0.0
37,client_0,1.0,8,295160,295160,0.0
37,client_1,1.0,8,295160,295160,0.0
37,client_2,1.0,8,295160,295160,0.0
37,client_3,1.0,8,295160,295160,0.0
37,client_4,1.0,8,295160,295160,0.0
37,client_5,1.0,8,295160,295160,0.0
37,client_6,1.0,8,295160,295160,0.0
37,client_7,1.0,8,295160,295160,0.0
37,client_8,1.0,8,295160,295160,0.0
37,client_9,1.0,8,295160,295160,0.0
37,client_10,1.0,8,295160,295160,0.0
37,client_11,1.0,8,295160,295160,0.0
37,client_12,1.0,8,295160,295160,0.0
37,client_13,1.0,8,295160,295160,0.0
37,client_14,1.0,8,295160,295160,0.0
37,client_16,1.0,8,295160,295160,0.0
37,client_17,1.0,8,295160,295160,0.0
37,client_19,1.0,8,295160,295160,0.0
38,client_0,1.0,8,295160,295160,0.0
38,client_1,1.0,8,295160,295160,0.0
38,client_2,1.0,8,295160,295160,0.0
38,client_3,1.0,8,295160,295160,0.0
38,client_4,1.0,8,295160,295160,0.0
38,client_5,1.0,8,295160,295160,0.0
38,client_6,1.0,8,295160,295160,0.0
38,client_8,1.0,8,295160,295160,0.0
38,client_9,1.0,8,295160,295160,0.0
38,client_11,1.0,8,295160,295160,0.0
38,client_13,1.0,8,295160,295160,0.0
38,client_14,1.0,8,295160,295160,0.0
38,client_15,1.0,8,295160,295160,0.0
38,client_16,1.0,8,295160,295160,0.0
38,client_17,1.0,8,295160,295160,0.0
38,client_18,1.0,8,295160,295160,0.0
38,client_19,1.0,8,295160,295160,0.0
39,client_0,1.0,8,295160,295160,0.0
39,client_1,1.0,8,295160,295160,0.0
39,client_3,1.0,8,295160,295160,0.0
39,client_4,1.0,8,295160,295160,0.0
39,client_6,1.0,8,295160,295160,0.0
39,client_7,1.0,8,295160,295160,0.0
39,client_9,1.0,8,295160,295160,0.0
39,client_10,1.0,8,295160,295160,0.0
39,client_11,1.0,8,295160,295160,0.0
39,client_12,1.0,8,295160,295160,0.0
39,client_14,1.0,8,295160,295160,0.0
39,client_15,1.0,8,295160,295160,0.0
39,client_16,1.0,8,295160,295160,0.0
39,client_18,1.0,8,295160,295160,0.0
39,client_19,1.0,8,295160,295160,0.0
40,client_0,1.0,8,295160,295160,0.0
40,client_1,1.0,8,295160,295160,0.0
40,client_2,1.0,8,295160,295160,0.0
40,client_3,1.0,8,295160,295160,0.0
40,client_5,1.0,8,295160,295160,0.0
40,client_6,1.0,8,295160,295160,0.0
40,client_7,1.0,8,295160,295160,0.0
40,client_11,1.0,8,295160,295160,0.0
40,client_12,1.0,8,295160,295160,0.0
40,client_13,1.0,8,295160,295160,0.0
40,client_14,1.0,8,295160,295160,0.0
