method,label,round,accuracy,balanced_accuracy,f1_score,auc_roc,dp_noise_scale,agg_client_count,selected_client_count,participation_policy,zkip_failures,ebcd_alert,tcm_state_count,round_duration
fedavg,FedAvg,1,0.545904255319149,0.5459042553191489,0.5332793262870726,0.9465586349444957,0.0,20,20,all,0,0,0,32.59101223945618
fedavg,FedAvg,2,0.579627659574468,0.579627659574468,0.5683771170602385,0.9535261389916745,0.0,20,20,all,0,0,0,33.03359818458557
fedavg,FedAvg,3,0.588936170212766,0.5889361702127659,0.5789933791950864,0.9554612829555967,0.0,20,20,all,0,0,0,32.59525418281555
fedavg,FedAvg,4,0.596436170212766,0.596436170212766,0.5871260634716875,0.9565587997224791,0.0,20,20,all,0,0,0,31.89309573173523
fedavg,FedAvg,5,0.6016489361702128,0.6016489361702126,0.5928966460831475,0.9570503006475485,0.0,20,20,all,0,0,0,32.18313407897949
fedavg,FedAvg,6,0.6071808510638298,0.6071808510638298,0.5988288231058162,0.9579238465541168,0.0,20,20,all,0,0,0,32.37116885185242
fedavg,FedAvg,7,0.6093085106382978,0.6093085106382979,0.6010985356318196,0.9579282724329325,0.0,20,20,all,0,0,0,32.46452188491821
fedavg,FedAvg,8,0.6139361702127659,0.6139361702127659,0.605830622779441,0.9586086580712305,0.0,20,20,all,0,0,0,32.44110178947449
fedavg,FedAvg,9,0.6161170212765957,0.6161170212765956,0.6084009488599927,0.9589161829324699,0.0,20,20,all,0,0,0,32.03680610656738
fedavg,FedAvg,10,0.6187765957446808,0.6187765957446808,0.6112548254850818,0.9592364621877891,0.0,20,20,all,0,0,0,31.856016159057617
fedavg,FedAvg,11,0.6210106382978723,0.6210106382978723,0.613711080667277,0.9595792553191487,0.0,20,20,all,0,0,0,32.013397455215454
fedavg,FedAvg,12,0.6209574468085106,0.6209574468085106,0.6136126984167133,0.9593092911655874,0.0,20,20,all,0,0,0,32.11449217796326
fedavg,FedAvg,13,0.6237765957446808,0.6237765957446808,0.6163487661028317,0.959947684435708,0.0,20,20,all,0,0,0,32.480114459991455
fedavg,FedAvg,14,0.6241489361702127,0.6241489361702128,0.6169081563410647,0.9601190130666047,0.0,20,20,all,0,0,0,32.75118851661682
fedavg,FedAvg,15,0.6251063829787235,0.6251063829787233,0.6178424084523468,0.9602072242136911,0.0,20,20,all,0,0,0,32.33996605873108
fedavg,FedAvg,16,0.6256914893617022,0.6256914893617022,0.6185928534842928,0.9604227971785385,0.0,20,20,all,0,0,0,31.9512836933136
fedavg,FedAvg,17,0.6256382978723404,0.6256382978723405,0.6184836944961146,0.9602698687557818,0.0,20,20,all,0,0,0,31.812246084213257
fedavg,FedAvg,18,0.6279255319148936,0.6279255319148936,0.6209098145796772,0.9606136621184088,0.0,20,20,all,0,0,0,31.861748933792114
fedavg,FedAvg,19,0.6287765957446808,0.6287765957446809,0.621663940968964,0.9608219385985197,0.0,20,20,all,0,0,0,32.539743423461914
fedavg,FedAvg,20,0.6275531914893617,0.6275531914893617,0.6203205670937317,0.9608439668131359,0.0,20,20,all,0,0,0,32.54745435714722
fedavg,FedAvg,21,0.6288297872340426,0.6288297872340426,0.6216460395171829,0.9609692414431082,0.0,20,20,all,0,0,0,32.33225607872009
fedavg,FedAvg,22,0.6290425531914894,0.6290425531914894,0.6218432341796563,0.9608888211147089,0.0,20,20,all,0,0,0,32.10232591629028
fedavg,FedAvg,23,0.6292553191489362,0.6292553191489362,0.6219135973996768,0.9611288939639222,0.0,20,20,all,0,0,0,32.02192258834839
fedavg,FedAvg,24,0.6296808510638298,0.6296808510638298,0.6225936389301407,0.9611679463459761,0.0,20,20,all,0,0,0,32.136653900146484
fedavg,FedAvg,25,0.6303723404255319,0.6303723404255319,0.6231884751389367,0.9611656654717853,0.0,20,20,all,0,0,0,32.40301966667175
fedavg,FedAvg,26,0.6315425531914893,0.6315425531914893,0.624357861417087,0.9612269368640148,0.0,20,20,all,0,0,0,32.47605061531067
fedavg,FedAvg,27,0.6307978723404255,0.6307978723404255,0.6238124714804035,0.9613174231036076,0.0,20,20,all,0,0,0,32.657663106918335
