method,label,round,accuracy,balanced_accuracy,f1_score,auc_roc,dp_noise_scale,agg_client_count,selected_client_count,participation_policy,zkip_failures,ebcd_alert,tcm_state_count,round_duration
fedavg,FedAvg,1,0.5382978723404256,0.5382978723404256,0.5247883602640496,0.9448626474329324,0.0,17,17,all,0,0,0,27.760234117507935
fedavg,FedAvg,2,0.5518085106382978,0.5518085106382979,0.5331278264205841,0.9515399456521737,0.0,15,15,all,0,0,0,24.22506546974182
fedavg,FedAvg,3,0.5690425531914893,0.5690425531914894,0.5507356363590852,0.9539321288159112,0.0,16,16,all,0,0,0,25.410759210586548
fedavg,FedAvg,4,0.5801595744680851,0.580159574468085,0.5711976358208855,0.9556543449352453,0.0,15,15,all,0,0,0,24.584572792053223
fedavg,FedAvg,5,0.5877127659574468,0.5877127659574469,0.5761985561873555,0.9563572299953746,0.0,17,17,all,0,0,0,26.951367616653442
fedavg,FedAvg,6,0.604468085106383,0.604468085106383,0.5967923866399776,0.9575307441026828,0.0,19,19,all,0,0,0,30.553526163101196
fedavg,FedAvg,7,0.6102659574468086,0.6102659574468084,0.6032384426972528,0.9577529457678077,0.0,18,18,all,0,0,0,27.800512075424194
fedavg,FedAvg,8,0.5988829787234042,0.5988829787234042,0.586628793527486,0.9569578659805734,0.0,15,15,all,0,0,0,23.84157133102417
fedavg,FedAvg,9,0.6118085106382979,0.6118085106382979,0.6039213386787123,0.9585463488667898,0.0,19,19,all,0,0,0,30.91311025619507
fedavg,FedAvg,10,0.6114893617021276,0.6114893617021276,0.6035296181598973,0.9585660268270121,0.0,18,18,all,0,0,0,29.000270128250122
fedavg,FedAvg,11,0.6022872340425532,0.6022872340425531,0.5911097900378103,0.9580054839269194,0.0,16,16,all,0,0,0,26.131714582443237
fedavg,FedAvg,12,0.6203723404255319,0.620372340425532,0.6131587699728709,0.9592771710222018,0.0,17,17,all,0,0,0,27.256474494934082
fedavg,FedAvg,13,0.6097872340425532,0.6097872340425532,0.5996708650910131,0.958908767923219,0.0,14,14,all,0,0,0,21.845357418060303
fedavg,FedAvg,14,0.6146808510638297,0.6146808510638297,0.6099213563450295,0.9587374508556893,0.0,14,14,all,0,0,0,22.321874618530273
fedavg,FedAvg,15,0.6165957446808511,0.6165957446808511,0.6066774190682177,0.9594753295559667,0.0,17,17,all,0,0,0,26.501018524169922
fedavg,FedAvg,16,0.623031914893617,0.6230319148936169,0.6163675595214018,0.9598705596669749,0.0,18,18,all,0,0,0,29.99028968811035
fedavg,FedAvg,17,0.6200531914893617,0.6200531914893618,0.6104423438520938,0.9598929232192416,0.0,17,17,all,0,0,0,28.139649868011475
fedavg,FedAvg,18,0.6156382978723405,0.6156382978723405,0.6092625337863582,0.9598894253006478,0.0,15,15,all,0,0,0,24.70431089401245
fedavg,FedAvg,19,0.6198936170212765,0.6198936170212767,0.6123194379324401,0.9599790558510636,0.0,17,17,all,0,0,0,27.583648681640625
fedavg,FedAvg,20,0.6272340425531915,0.6272340425531915,0.6202706384626748,0.9606506735661426,0.0,20,20,all,0,0,0,31.596840858459473
fedavg,FedAvg,21,0.6193617021276596,0.6193617021276596,0.6112838191702064,0.9602753324468087,0.0,16,16,all,0,0,0,25.357443809509277
fedavg,FedAvg,22,0.6196808510638298,0.6196808510638298,0.6139096786467901,0.9603299664662348,0.0,15,15,all,0,0,0,24.220449447631836
fedavg,FedAvg,23,0.628031914893617,0.6280319148936171,0.6197123593275147,0.9603752688482886,0.0,16,16,all,0,0,0,25.18714928627014
fedavg,FedAvg,24,0.6210106382978723,0.6210106382978724,0.6135504213639073,0.960688477104533,0.0,17,17,all,0,0,0,28.187514305114746
fedavg,FedAvg,25,0.6261702127659574,0.6261702127659574,0.6197920928707165,0.960754980920444,0.0,17,17,all,0,0,0,26.674094200134277
fedavg,FedAvg,26,0.6277127659574468,0.6277127659574467,0.6207067481160039,0.9612037523126736,0.0,19,19,all,0,0,0,30.34529972076416
fedavg,FedAvg,27,0.6257446808510638,0.6257446808510638,0.6183579849527252,0.9606353665587419,0.0,16,16,all,0,0,0,26.065727472305298
fedavg,FedAvg,28,0.6320212765957447,0.6320212765957449,0.6257668785878597,0.9613427006244217,0.0,18,18,all,0,0,0,28.4084529876709
fedavg,FedAvg,29,0.6308510638297873,0.6308510638297872,0.6236205754434184,0.9612685447502313,0.0,18,18,all,0,0,0,29.06964349746704
fedavg,FedAvg,30,0.6295212765957446,0.6295212765957446,0.622814178626477,0.96133950913506,0.0,19,19,all,0,0,0,30.05742359161377
fedavg,FedAvg,31,0.6297340425531915,0.6297340425531915,0.6238034408081583,0.9610315708834415,0.0,17,17,all,0,0,0,27.000943422317505
fedavg,FedAvg,32,0.6299468085106383,0.6299468085106382,0.6239800675841867,0.9610291396854765,0.0,17,17,all,0,0,0,27.202802419662476
fedavg,FedAvg,33,0.6241489361702127,0.6241489361702126,0.6153429833614971,0.960478885291397,0.0,15,15,all,0,0,0,23.6127347946167
fedavg,FedAvg,34,0.630904255319149,0.630904255319149,0.6227592397787105,0.9611241963459758,0.0,18,18,all,0,0,0,27.298125982284546
fedavg,FedAvg,35,0.6310638297872341,0.631063829787234,0.6246360503260382,0.9616097883903792,0.0,17,17,all,0,0,0,27.56037998199463
fedavg,FedAvg,36,0.6300531914893617,0.6300531914893617,0.6238091439122141,0.9611177006244218,0.0,17,17,all,0,0,0,27.435580730438232
fedavg,FedAvg,37,0.632127659574468,0.632127659574468,0.6260861440808199,0.9616831753006474,0.0,18,18,all,0,0,0,28.38251543045044
fedavg,FedAvg,38,0.6322340425531915,0.6322340425531915,0.6264114085933298,0.9613818541859389,0.0,17,17,all,0,0,0,26.582768440246582
fedavg,FedAvg,39,0.6255851063829787,0.6255851063829787,0.6179448963690116,0.9611751561054581,0.0,16,16,all,0,0,0,26.131114721298218
fedavg,FedAvg,40,0.6275,0.6275,0.6203374284937874,0.9611170935476411,0.0,17,17,all,0,0,0,27.72198510169983
