method,client_id,round,steps,sample_rate,noise_multiplier,cumulative_epsilon,incremental_epsilon,target_epsilon,remaining_epsilon,status
apdp_rtfl,client_0,1,1,1.0,1.491426132877198,3.442980242523526,3.442980242523526,5.0,1.557019757476474,spent
apdp_rtfl,client_1,1,2,0.927536231884058,2.017484952743823,3.4704437697429995,3.4704437697429995,5.0,1.5295562302570005,spent
apdp_rtfl,client_2,1,1,1.0,1.491426132877198,3.442980242523526,3.442980242523526,5.0,1.557019757476474,spent
apdp_rtfl,client_3,1,1,1.0,1.491426132877198,3.442980242523526,3.442980242523526,5.0,1.557019757476474,spent
apdp_rtfl,client_4,1,2,0.6808510638297872,1.7065889372016763,3.5711533061189504,3.5711533061189504,5.0,1.4288466938810496,spent
apdp_rtfl,client_0,2,1,1.0,1.491426132877198,5.0,1.557019757476474,5.0,0.0,spent
apdp_rtfl,client_1,2,2,0.927536231884058,2.017484952743823,5.0,1.5295562302570005,5.0,0.0,spent
apdp_rtfl,client_2,2,1,1.0,1.491426132877198,5.0,1.557019757476474,5.0,0.0,spent
apdp_rtfl,client_3,2,1,1.0,1.491426132877198,5.0,1.557019757476474,5.0,0.0,spent
apdp_rtfl,client_4,2,2,0.6808510638297872,1.7065889372016763,5.0,1.4288466938810496,5.0,0.0,spent
